date,temp
2005-01-01,4
2005-01-02,6
2005-01-03,4
2005-01-04,2
2005-01-05,4
2005-01-06,8
2005-01-07,6
2005-01-08,6
2005-01-09,9
2005-01-10,5
2005-01-11,5
2005-01-12,5
2005-01-13,5
2005-01-14,0
2005-01-15,-1
2005-01-16,-1
2005-01-17,-1
2005-01-18,3
2005-01-19,3
2005-01-20,7
2005-01-21,7
2005-01-22,3
2005-01-23,1
2005-01-24,-1
2005-01-25,-3
2005-01-26,-4
2005-01-27,-6
2005-01-28,-5
2005-01-29,-6
2005-01-30,-6
2005-01-31,-1
2005-02-01,2
2005-02-02,2
2005-02-03,3
2005-02-04,1
2005-02-05,1
2005-02-06,1
2005-02-07,2
2005-02-08,3
2005-02-09,4
2005-02-10,4
2005-02-11,7
2005-02-12,10
2005-02-13,3
2005-02-14,1
2005-02-15,0
2005-02-16,-1
2005-02-17,-1
2005-02-18,-1
2005-02-19,-1
2005-02-20,0
2005-02-21,-1
2005-02-22,-2
2005-02-23,-2
2005-02-24,-2
2005-02-25,-3
2005-02-26,-1
2005-02-27,-4
2005-02-28,-6
2005-03-01,-8
2005-03-02,-4
2005-03-03,1
2005-03-04,0
2005-03-05,0
2005-03-06,-2
2005-03-07,-3
2005-03-08,2
2005-03-09,3
2005-03-10,3
2005-03-11,3
2005-03-12,3
2005-03-13,2
2005-03-14,5
2005-03-15,10
2005-03-16,11
2005-03-17,13
2005-03-18,14
2005-03-19,14
2005-03-20,12
2005-03-21,11
2005-03-22,11
2005-03-23,13
2005-03-24,12
2005-03-25,13
2005-03-26,11
2005-03-27,11
2005-03-28,12
2005-03-29,12
2005-03-30,11
2005-03-31,10
2005-04-01,11
2005-04-02,12
2005-04-03,12
2005-04-04,12
2005-04-05,10
2005-04-06,13
2005-04-07,12
2005-04-08,8
2005-04-09,4
2005-04-10,5
2005-04-11,9
2005-04-12,9
2005-04-13,10
2005-04-14,12
2005-04-15,11
2005-04-16,9
2005-04-17,6
2005-04-18,11
2005-04-19,10
2005-04-20,8
2005-04-21,8
2005-04-22,9
2005-04-23,11
2005-04-24,11
2005-04-25,11
2005-04-26,13
2005-04-27,11
2005-04-28,14
2005-04-29,18
2005-04-30,19
2005-05-01,21
2005-05-02,20
2005-05-03,15
2005-05-04,12
2005-05-05,11
2005-05-06,10
2005-05-07,10
2005-05-08,10
2005-05-09,11
2005-05-10,10
2005-05-11,9
2005-05-12,12
2005-05-13,14
2005-05-14,14
2005-05-15,14
2005-05-16,10
2005-05-17,12
2005-05-18,9
2005-05-19,12
2005-05-20,17
2005-05-21,17
2005-05-22,15
2005-05-23,12
2005-05-24,15
2005-05-25,18
2005-05-26,21
2005-05-27,23
2005-05-28,24
2005-05-29,23
2005-05-30,17
2005-05-31,14
2005-06-01,15
2005-06-02,18
2005-06-03,21
2005-06-04,17
2005-06-05,16
2005-06-06,15
2005-06-07,12
2005-06-08,12
2005-06-09,12
2005-06-10,13
2005-06-11,15
2005-06-12,16
2005-06-13,17
2005-06-14,16
2005-06-15,19
2005-06-16,20
2005-06-17,21
2005-06-18,22
2005-06-19,22
2005-06-20,24
2005-06-21,25
2005-06-22,24
2005-06-23,25
2005-06-24,26
2005-06-25,22
2005-06-26,24
2005-06-27,25
2005-06-28,25
2005-06-29,22
2005-06-30,20
2005-07-01,17
2005-07-02,18
2005-07-03,21
2005-07-04,19
2005-07-05,16
2005-07-06,15
2005-07-07,14
2005-07-08,14
2005-07-09,16
2005-07-10,17
2005-07-11,17
2005-07-12,18
2005-07-13,20
2005-07-14,22
2005-07-15,23
2005-07-16,23
2005-07-17,24
2005-07-18,21
2005-07-19,19
2005-07-20,19
2005-07-21,19
2005-07-22,18
2005-07-23,18
2005-07-24,19
2005-07-25,19
2005-07-26,22
2005-07-27,25
2005-07-28,27
2005-07-29,22
2005-07-30,19
2005-07-31,19
2005-08-01,19
2005-08-02,15
2005-08-03,17
2005-08-04,18
2005-08-05,18
2005-08-06,18
2005-08-07,15
2005-08-08,14
2005-08-09,16
2005-08-10,17
2005-08-11,17
2005-08-12,19
2005-08-13,18
2005-08-14,15
2005-08-15,14
2005-08-16,16
2005-08-17,18
2005-08-18,21
2005-08-19,20
2005-08-20,16
2005-08-21,15
2005-08-22,17
2005-08-23,18
2005-08-24,18
2005-08-25,17
2005-08-26,17
2005-08-27,16
2005-08-28,17
2005-08-29,19
2005-08-30,21
2005-08-31,23
2005-09-01,22
2005-09-02,21
2005-09-03,21
2005-09-04,20
2005-09-05,20
2005-09-06,21
2005-09-07,20
2005-09-08,21
2005-09-09,20
2005-09-10,19
2005-09-11,16
2005-09-12,17
2005-09-13,17
2005-09-14,17
2005-09-15,17
2005-09-16,16
2005-09-17,10
2005-09-18,10
2005-09-19,10
2005-09-20,11
2005-09-21,12
2005-09-22,12
2005-09-23,15
2005-09-24,16
2005-09-25,17
2005-09-26,16
2005-09-27,16
2005-09-28,15
2005-09-29,14
2005-09-30,12
2005-10-01,12
2005-10-02,10
2005-10-03,10
2005-10-04,12
2005-10-05,12
2005-10-06,13
2005-10-07,14
2005-10-08,14
2005-10-09,14
2005-10-10,13
2005-10-11,13
2005-10-12,14
2005-10-13,12
2005-10-14,11
2005-10-15,11
2005-10-16,10
2005-10-17,10
2005-10-18,8
2005-10-19,9
2005-10-20,13
2005-10-21,14
2005-10-22,15
2005-10-23,13
2005-10-24,12
2005-10-25,15
2005-10-26,16
2005-10-27,13
2005-10-28,14
2005-10-29,14
2005-10-30,14
2005-10-31,14
2005-11-01,13
2005-11-02,12
2005-11-03,14
2005-11-04,13
2005-11-05,10
2005-11-06,7
2005-11-07,7
2005-11-08,7
2005-11-09,7
2005-11-10,9
2005-11-11,8
2005-11-12,7
2005-11-13,6
2005-11-14,5
2005-11-15,5
2005-11-16,6
2005-11-17,3
2005-11-18,2
2005-11-19,-1
2005-11-20,0
2005-11-21,1
2005-11-22,2
2005-11-23,1
2005-11-24,-2
2005-11-25,1
2005-11-26,-1
2005-11-27,-1
2005-11-28,2
2005-11-29,2
2005-11-30,1
2005-12-01,1
2005-12-02,0
2005-12-03,5
2005-12-04,10
2005-12-05,6
2005-12-06,3
2005-12-07,3
2005-12-08,2
2005-12-09,2
2005-12-10,1
2005-12-11,-4
2005-12-12,-4
2005-12-13,-1
2005-12-14,1
2005-12-15,1
2005-12-16,6
2005-12-17,1
2005-12-18,0
2005-12-19,0
2005-12-20,0
2005-12-21,0
2005-12-22,1
2005-12-23,2
2005-12-24,1
2005-12-25,3
2005-12-26,1
2005-12-27,-2
2005-12-28,-5
2005-12-29,-4
2005-12-30,-6
2005-12-31,4
2006-01-01,5
2006-01-02,3
2006-01-03,2
2006-01-04,0
2006-01-05,1
2006-01-06,-2
2006-01-07,-3
2006-01-08,-3
2006-01-09,-4
2006-01-10,-4
2006-01-11,-4
2006-01-12,-2
2006-01-13,-4
2006-01-14,-5
2006-01-15,-5
2006-01-16,-4
2006-01-17,2
2006-01-18,5
2006-01-19,3
2006-01-20,4
2006-01-21,4
2006-01-22,2
2006-01-23,-2
2006-01-24,-5
2006-01-25,-2
2006-01-26,-2
2006-01-27,-6
2006-01-28,-7
2006-01-29,-5
2006-01-30,-4
2006-01-31,-4
2006-02-01,-4
2006-02-02,-4
2006-02-03,-6
2006-02-04,-6
2006-02-05,-2
2006-02-06,1
2006-02-07,3
2006-02-08,3
2006-02-09,2
2006-02-10,1
2006-02-11,0
2006-02-12,-2
2006-02-13,-1
2006-02-14,4
2006-02-15,5
2006-02-16,8
2006-02-17,6
2006-02-18,7
2006-02-19,5
2006-02-20,6
2006-02-21,5
2006-02-22,3
2006-02-23,1
2006-02-24,1
2006-02-25,0
2006-02-26,-2
2006-02-27,-2
2006-02-28,-1
2006-03-01,-1
2006-03-02,-2
2006-03-03,5
2006-03-04,0
2006-03-05,-1
2006-03-06,0
2006-03-07,0
2006-03-08,2
2006-03-09,8
2006-03-10,4
2006-03-11,2
2006-03-12,-3
2006-03-13,-2
2006-03-14,0
2006-03-15,1
2006-03-16,1
2006-03-17,2
2006-03-18,3
2006-03-19,4
2006-03-20,7
2006-03-21,8
2006-03-22,5
2006-03-23,5
2006-03-24,7
2006-03-25,13
2006-03-26,15
2006-03-27,15
2006-03-28,9
2006-03-29,9
2006-03-30,11
2006-03-31,13
2006-04-01,11
2006-04-02,11
2006-04-03,9
2006-04-04,9
2006-04-05,2
2006-04-06,4
2006-04-07,6
2006-04-08,10
2006-04-09,6
2006-04-10,3
2006-04-11,5
2006-04-12,5
2006-04-13,7
2006-04-14,11
2006-04-15,10
2006-04-16,12
2006-04-17,11
2006-04-18,12
2006-04-19,11
2006-04-20,13
2006-04-21,15
2006-04-22,15
2006-04-23,15
2006-04-24,16
2006-04-25,14
2006-04-26,13
2006-04-27,13
2006-04-28,11
2006-04-29,7
2006-04-30,7
2006-05-01,11
2006-05-02,15
2006-05-03,17
2006-05-04,19
2006-05-05,17
2006-05-06,15
2006-05-07,14
2006-05-08,12
2006-05-09,9
2006-05-10,11
2006-05-11,14
2006-05-12,15
2006-05-13,15
2006-05-14,15
2006-05-15,17
2006-05-16,17
2006-05-17,19
2006-05-18,16
2006-05-19,15
2006-05-20,14
2006-05-21,15
2006-05-22,15
2006-05-23,13
2006-05-24,13
2006-05-25,13
2006-05-26,18
2006-05-27,19
2006-05-28,17
2006-05-29,11
2006-05-30,8
2006-05-31,8
2006-06-01,8
2006-06-02,8
2006-06-03,12
2006-06-04,14
2006-06-05,14
2006-06-06,14
2006-06-07,14
2006-06-08,16
2006-06-09,18
2006-06-10,19
2006-06-11,21
2006-06-12,21
2006-06-13,23
2006-06-14,24
2006-06-15,24
2006-06-16,21
2006-06-17,21
2006-06-18,22
2006-06-19,20
2006-06-20,22
2006-06-21,22
2006-06-22,19
2006-06-23,19
2006-06-24,21
2006-06-25,22
2006-06-26,21
2006-06-27,21
2006-06-28,21
2006-06-29,20
2006-06-30,22
2006-07-01,22
2006-07-02,23
2006-07-03,23
2006-07-04,25
2006-07-05,22
2006-07-06,20
2006-07-07,20
2006-07-08,21
2006-07-09,22
2006-07-10,24
2006-07-11,25
2006-07-12,25
2006-07-13,24
2006-07-14,23
2006-07-15,23
2006-07-16,23
2006-07-17,23
2006-07-18,24
2006-07-19,26
2006-07-20,27
2006-07-21,27
2006-07-22,25
2006-07-23,25
2006-07-24,26
2006-07-25,27
2006-07-26,26
2006-07-27,26
2006-07-28,22
2006-07-29,22
2006-07-30,24
2006-07-31,21
2006-08-01,19
2006-08-02,19
2006-08-03,15
2006-08-04,16
2006-08-05,16
2006-08-06,16
2006-08-07,19
2006-08-08,18
2006-08-09,18
2006-08-10,16
2006-08-11,14
2006-08-12,14
2006-08-13,13
2006-08-14,14
2006-08-15,18
2006-08-16,18
2006-08-17,19
2006-08-18,19
2006-08-19,19
2006-08-20,18
2006-08-21,18
2006-08-22,18
2006-08-23,18
2006-08-24,16
2006-08-25,16
2006-08-26,15
2006-08-27,16
2006-08-28,14
2006-08-29,12
2006-08-30,13
2006-08-31,14
2006-09-01,17
2006-09-02,19
2006-09-03,21
2006-09-04,23
2006-09-05,22
2006-09-06,20
2006-09-07,22
2006-09-08,17
2006-09-09,17
2006-09-10,20
2006-09-11,20
2006-09-12,19
2006-09-13,20
2006-09-14,18
2006-09-15,17
2006-09-16,17
2006-09-17,16
2006-09-18,16
2006-09-19,17
2006-09-20,17
2006-09-21,18
2006-09-22,19
2006-09-23,19
2006-09-24,18
2006-09-25,15
2006-09-26,15
2006-09-27,15
2006-09-28,15
2006-09-29,17
2006-09-30,17
2006-10-01,16
2006-10-02,17
2006-10-03,15
2006-10-04,12
2006-10-05,12
2006-10-06,13
2006-10-07,13
2006-10-08,11
2006-10-09,13
2006-10-10,14
2006-10-11,14
2006-10-12,15
2006-10-13,15
2006-10-14,13
2006-10-15,13
2006-10-16,10
2006-10-17,11
2006-10-18,12
2006-10-19,13
2006-10-20,15
2006-10-21,14
2006-10-22,16
2006-10-23,14
2006-10-24,15
2006-10-25,13
2006-10-26,16
2006-10-27,15
2006-10-28,15
2006-10-29,15
2006-10-30,11
2006-10-31,12
2006-11-01,8
2006-11-02,3
2006-11-03,2
2006-11-04,3
2006-11-05,3
2006-11-06,4
2006-11-07,6
2006-11-08,7
2006-11-09,11
2006-11-10,6
2006-11-11,6
2006-11-12,9
2006-11-13,9
2006-11-14,12
2006-11-15,11
2006-11-16,10
2006-11-17,12
2006-11-18,11
2006-11-19,8
2006-11-20,7
2006-11-21,8
2006-11-22,5
2006-11-23,10
2006-11-24,12
2006-11-25,13
2006-11-26,11
2006-11-27,9
2006-11-28,7
2006-11-29,8
2006-11-30,7
2006-12-01,6
2006-12-02,5
2006-12-03,11
2006-12-04,12
2006-12-05,14
2006-12-06,9
2006-12-07,7
2006-12-08,8
2006-12-09,5
2006-12-10,4
2006-12-11,2
2006-12-12,5
2006-12-13,4
2006-12-14,3
2006-12-15,1
2006-12-16,3
2006-12-17,5
2006-12-18,1
2006-12-19,2
2006-12-20,0
2006-12-21,-1
2006-12-22,0
2006-12-23,-1
2006-12-24,1
2006-12-25,0
2006-12-26,0
2006-12-27,-1
2006-12-28,-1
2006-12-29,0
2006-12-30,2
2006-12-31,10
2007-01-01,9
2007-01-02,4
2007-01-03,6
2007-01-04,6
2007-01-05,7
2007-01-06,9
2007-01-07,9
2007-01-08,9
2007-01-09,11
2007-01-10,10
2007-01-11,11
2007-01-12,9
2007-01-13,9
2007-01-14,8
2007-01-15,4
2007-01-16,5
2007-01-17,10
2007-01-18,14
2007-01-19,14
2007-01-20,12
2007-01-21,8
2007-01-22,4
2007-01-23,0
2007-01-24,-4
2007-01-25,-5
2007-01-26,-5
2007-01-27,-1
2007-01-28,2
2007-01-29,3
2007-01-30,2
2007-01-31,1
2007-02-01,3
2007-02-02,4
2007-02-03,5
2007-02-04,4
2007-02-05,5
2007-02-06,3
2007-02-07,4
2007-02-08,6
2007-02-09,5
2007-02-10,5
2007-02-11,8
2007-02-12,9
2007-02-13,7
2007-02-14,5
2007-02-15,7
2007-02-16,8
2007-02-17,6
2007-02-18,7
2007-02-19,6
2007-02-20,6
2007-02-21,8
2007-02-22,9
2007-02-23,10
2007-02-24,9
2007-02-25,8
2007-02-26,7
2007-02-27,7
2007-02-28,11
2007-03-01,9
2007-03-02,7
2007-03-03,11
2007-03-04,10
2007-03-05,9
2007-03-06,9
2007-03-07,9
2007-03-08,8
2007-03-09,7
2007-03-10,6
2007-03-11,6
2007-03-12,8
2007-03-13,9
2007-03-14,9
2007-03-15,9
2007-03-16,9
2007-03-17,8
2007-03-18,8
2007-03-19,3
2007-03-20,2
2007-03-21,2
2007-03-22,2
2007-03-23,2
2007-03-24,3
2007-03-25,4
2007-03-26,7
2007-03-27,8
2007-03-28,9
2007-03-29,9
2007-03-30,7
2007-03-31,5
2007-04-01,8
2007-04-02,11
2007-04-03,10
2007-04-04,7
2007-04-05,8
2007-04-06,11
2007-04-07,13
2007-04-08,11
2007-04-09,12
2007-04-10,13
2007-04-11,14
2007-04-12,15
2007-04-13,17
2007-04-14,18
2007-04-15,19
2007-04-16,17
2007-04-17,17
2007-04-18,12
2007-04-19,12
